framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency,vllm_max_model_len,vllm_max_num_seqs,vllm_max_num_batched_tokens,used_cuda_graph
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,4,2048,512,8,256,2,1,sampled_zipf_0.4,0.0228639990091323,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,5,2048,512,8,256,2,1,sampled_zipf_0.4,0.0331253334879875,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,6,2048,512,8,256,2,1,sampled_zipf_0.4,0.0340266674757003,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,7,2048,512,8,256,2,1,sampled_zipf_0.4,0.040362666050593,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,8,2048,512,8,256,2,1,sampled_zipf_0.4,0.0419253309567769,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,16,2048,512,8,256,2,1,sampled_zipf_0.4,0.0584000001351038,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,1,2048,512,8,256,1,1,sampled_zipf_0.8,0.0170613328615824,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,2,2048,512,8,256,1,1,sampled_zipf_0.8,0.0213653321067492,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,3,2048,512,8,256,1,1,sampled_zipf_0.8,0.0312800010045369,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,4,2048,512,8,256,1,1,sampled_zipf_0.8,0.0402453343073527,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,5,2048,512,8,256,1,1,sampled_zipf_0.8,0.0437226643164952,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,6,2048,512,8,256,1,1,sampled_zipf_0.8,0.0485120018323262,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,7,2048,512,8,256,1,1,sampled_zipf_0.8,0.0553920020659764,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,8,2048,512,8,256,1,1,sampled_zipf_0.8,0.0617813318967819,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,16,2048,512,8,256,1,1,sampled_zipf_0.8,0.0865439971288045,,,,
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,1,2048,256,8,256,1,1,power_law_1.2,0.014623999595642,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,2,2048,256,8,256,1,1,power_law_1.2,0.0165439993143081,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,4,2048,256,8,256,1,1,power_law_1.2,0.025407999753952,,,,True
