phase,source,lane,group,kclass,start_us,dur_us
prefill_captured,golden,memory,backbone,elementwise,3947.564,8.064
prefill_captured,golden,memory,backbone,elementwise,3956.223,1.664
prefill_captured,golden,memory,backbone,elementwise,3958.459,2.368
prefill_captured,golden,memory,backbone,gdn_mamba,3961.239,2.176
prefill_captured,golden,memory,backbone,gdn_mamba,3965.979,4.224
prefill_captured,golden,memory,backbone,elementwise,3978.023,1.632
prefill_captured,golden,memory,backbone,gdn_mamba,3990.962,13.312
prefill_captured,golden,memory,backbone,gdn_mamba,4021.929,5.728
prefill_captured,golden,memory,backbone,gdn_mamba,4051.416,10.464
prefill_captured,golden,memory,backbone,gdn_mamba,4078.245,5.216
prefill_captured,golden,memory,backbone,elementwise,4098.675,1.76
prefill_captured,golden,memory,backbone,elementwise,4103.746,6.912
prefill_captured,golden,memory,backbone,elementwise,4142.862,1.376
prefill_captured,golden,memory,backbone,elementwise,4144.322,4.16
prefill_captured,golden,memory,backbone,elementwise,4148.596,1.568
prefill_captured,golden,compute,backbone,dense_gemm,4150.309,4.768
prefill_captured,golden,comm,comm,all_reduce,4155.154,22.401
prefill_captured,golden,compute,moe,shared_expert,4296.736,2.496
prefill_captured,golden,compute,backbone,dense_gemm,4299.301,5.12
prefill_captured,golden,compute,backbone,dense_gemm,4299.557,8.576
prefill_captured,golden,compute,moe,router,4307.109,7.84
prefill_captured,golden,compute,moe,shared_expert,4308.741,1.792
prefill_captured,golden,compute,backbone,dense_gemm,4310.661,4.544
prefill_captured,golden,compute,backbone,dense_gemm,4314.533,5.728
prefill_captured,golden,compute,moe,moe_gemm,4314.917,21.76
prefill_captured,golden,compute,backbone,dense_gemm,4331.237,3.392
prefill_captured,golden,memory,backbone,elementwise,4334.917,1.888
prefill_captured,golden,compute,moe,moe_gemm,4335.237,12.0
prefill_captured,golden,memory,backbone,elementwise,4344.837,5.408
prefill_captured,golden,compute,moe,router,4346.213,4.032
prefill_captured,golden,comm,comm,all_reduce,4350.565,1.664
prefill_captured,golden,comm,comm,all_reduce,4352.275,22.401
prefill_captured,golden,memory,backbone,elementwise,4376.461,2.432
prefill_captured,golden,compute,backbone,dense_gemm,4378.829,6.336
prefill_captured,golden,compute,backbone,dense_gemm,4383.949,4.448
prefill_captured,golden,compute,backbone,dense_gemm,4387.341,2.848
prefill_captured,golden,memory,backbone,elementwise,4390.273,1.824
prefill_captured,golden,memory,backbone,gdn_mamba,4392.555,6.176
prefill_captured,golden,memory,backbone,gdn_mamba,4399.135,2.496
prefill_captured,golden,memory,backbone,elementwise,4402.013,2.144
prefill_captured,golden,memory,backbone,elementwise,4404.622,7.68
prefill_captured,golden,memory,backbone,elementwise,4412.989,1.664
prefill_captured,golden,memory,backbone,elementwise,4415.225,2.368
prefill_captured,golden,memory,backbone,gdn_mamba,4418.005,2.08
prefill_captured,golden,memory,backbone,gdn_mamba,4420.573,4.256
prefill_captured,golden,memory,backbone,elementwise,4426.187,1.632
prefill_captured,golden,memory,backbone,gdn_mamba,4439.279,13.312
prefill_captured,golden,memory,backbone,gdn_mamba,4470.108,5.824
prefill_captured,golden,memory,backbone,gdn_mamba,4501.316,10.464
prefill_captured,golden,memory,backbone,gdn_mamba,4528.718,5.184
prefill_captured,golden,memory,backbone,elementwise,4549.375,1.792
prefill_captured,golden,memory,backbone,elementwise,4554.531,6.656
prefill_captured,golden,memory,backbone,elementwise,4593.537,2.496
prefill_captured,golden,memory,backbone,elementwise,4596.109,4.0
prefill_captured,golden,memory,backbone,elementwise,4600.254,1.44
prefill_captured,golden,compute,backbone,dense_gemm,4601.808,4.672
prefill_captured,golden,comm,comm,all_reduce,4606.557,22.401
prefill_captured,golden,compute,moe,shared_expert,4753.228,2.336
prefill_captured,golden,compute,backbone,dense_gemm,4755.671,4.96
prefill_captured,golden,compute,backbone,dense_gemm,4755.927,8.64
prefill_captured,golden,compute,moe,router,4763.383,7.904
prefill_captured,golden,compute,moe,shared_expert,4765.015,1.792
prefill_captured,golden,compute,backbone,dense_gemm,4766.967,4.64
prefill_captured,golden,compute,backbone,dense_gemm,4770.999,4.16
prefill_captured,golden,compute,moe,moe_gemm,4771.319,25.024
prefill_captured,golden,compute,backbone,dense_gemm,4790.615,3.488
prefill_captured,golden,memory,backbone,elementwise,4794.423,1.92
prefill_captured,golden,compute,moe,moe_gemm,4794.871,14.945
prefill_captured,golden,memory,backbone,elementwise,4807.288,5.088
prefill_captured,golden,compute,moe,router,4808.44,4.32
prefill_captured,golden,comm,comm,all_reduce,4812.988,1.696
prefill_captured,golden,comm,comm,all_reduce,4814.761,22.401
prefill_captured,golden,memory,backbone,elementwise,4838.252,2.528
prefill_captured,golden,compute,backbone,dense_gemm,4840.819,6.08
prefill_captured,golden,memory,backbone,elementwise,4846.975,1.376
prefill_captured,golden,memory,backbone,elementwise,4848.427,1.728
prefill_captured,golden,memory,backbone,elementwise,4850.239,2.752
prefill_captured,golden,compute,backbone,attention,4853.708,3.04
prefill_captured,golden,compute,backbone,attention,4856.832,10.56
prefill_captured,golden,memory,backbone,elementwise,4868.079,1.504
prefill_captured,golden,compute,backbone,dense_gemm,4870.002,4.576
prefill_captured,golden,comm,comm,all_reduce,4874.716,22.401
prefill_captured,golden,compute,moe,shared_expert,4933.052,2.4
prefill_captured,golden,compute,backbone,dense_gemm,4935.52,5.28
prefill_captured,golden,compute,backbone,dense_gemm,4935.808,8.896
prefill_captured,golden,compute,moe,router,4943.616,7.968
prefill_captured,golden,compute,moe,shared_expert,4945.152,1.792
prefill_captured,golden,compute,backbone,dense_gemm,4947.072,4.512
prefill_captured,golden,compute,backbone,dense_gemm,4950.88,5.28
prefill_captured,golden,compute,moe,moe_gemm,4951.552,26.849
prefill_captured,golden,compute,backbone,dense_gemm,4971.361,4.544
prefill_captured,golden,compute,moe,moe_gemm,4975.617,15.328
prefill_captured,golden,memory,backbone,elementwise,4987.873,1.856
